project;merge commit;textual conflict
MPAndroidChart;af114d180da6ec5633d32c701ff5467f7629fcf3;true
MPAndroidChart;9531ba69895cd64fce48038ffd8df2543eeea1d2;true
okhttp;35166168529bd27281685e56a0a122eff44460e9;false
Antlr4;69ff2669eec265e25721dbc27cb00f6c381d0b41;false
cloud-slang;20bac30d9bd76569aa6a4fa1e8261c1a9b5e6f76;true
elasticsearch;59cb67c7bd0ab6311115b20954e013412b676b29;true
elasticsearch;f3d63095dbcc985e24162fbac4ee0d6914dc757d;true
Storm;ad2be678831b3b060229fd936e3908110162b7ac;true
Storm;bd1f5c54752f67b484a83c26667331234234d3a3;true
elasticsearch;36884807b3cc9d660db4da062275c7fdbec8ba67;false
retrofit;71f622ce51031b152a0be6ad5facfb27a654bf5a;false
elasticsearch-river-mongodb;3d4f99516ba3177f7d88a1f600923138a8b77cc8;false
fitnesse;4d9ba9d221d879507440feb084fa7521b95111ec;false
SimianArmy;345ad9513aafff397050d613fa87ad06ddffe99d;false
Activiti;50d8e43eb5917c63abfbcdec1e68e510943f325a;false
netty;193acdb36cd3da9bfc62dd69c4208dff3f0a2b1b;false
druid;05168808c278c080c59c19e858d9471b316cd1f5;false
webbit;74d2d2b87704d003acacb34e4ca8fb5f897b938f;true
jsoup;a8b6982de98ff76ef254031d7152fff57f6bf941;false
jsoup;3f7d2c71dbbbb289c684f339874eed8ac2747fa0;false
jsoup;a44e18aa3c1fcd25a68a5965f9490d8f7d026509;false
resty-gwt;867b917c43c32acbdcac55767e7f04334006c866;false
OpenTripPlanner;4c506dce43775704919d084f0acfba86d251bf4a;false
jOOQ;d96120f327107feb1ebb15e7c090dc38eeff72ca;true
Storm;ad2be678831b3b060229fd936e3908110162b7ac;true
Storm;bd1f5c54752f67b484a83c26667331234234d3a3;true
swagger-maven-plugin;e825a7fdc6ef688f1253b93d2cb236e710acfc56;true
netty;193acdb36cd3da9bfc62dd69c4208dff3f0a2b1b;false
webbit;74d2d2b87704d003acacb34e4ca8fb5f897b938f;true
MPAndroidChart;af114d180da6ec5633d32c701ff5467f7629fcf3;true
MPAndroidChart;9531ba69895cd64fce48038ffd8df2543eeea1d2;true
okhttp;35166168529bd27281685e56a0a122eff44460e9;false
Antlr4;69ff2669eec265e25721dbc27cb00f6c381d0b41;false
cloud-slang;20bac30d9bd76569aa6a4fa1e8261c1a9b5e6f76;true
Storm;ad2be678831b3b060229fd936e3908110162b7ac;true
Storm;bd1f5c54752f67b484a83c26667331234234d3a3;true
fitnesse;4d9ba9d221d879507440feb084fa7521b95111ec;false
retrofit;71f622ce51031b152a0be6ad5facfb27a654bf5a;false
elasticsearch-river-mongodb;3d4f99516ba3177f7d88a1f600923138a8b77cc8;false
SimianArmy;345ad9513aafff397050d613fa87ad06ddffe99d;false
Activiti;50d8e43eb5917c63abfbcdec1e68e510943f325a;false
druid;05168808c278c080c59c19e858d9471b316cd1f5;false
netty;193acdb36cd3da9bfc62dd69c4208dff3f0a2b1b;false
OpenTripPlanner;4c506dce43775704919d084f0acfba86d251bf4a;false
webbit;74d2d2b87704d003acacb34e4ca8fb5f897b938f;true
jsoup;a8b6982de98ff76ef254031d7152fff57f6bf941;false
jsoup;3f7d2c71dbbbb289c684f339874eed8ac2747fa0;false
jsoup;a44e18aa3c1fcd25a68a5965f9490d8f7d026509;false
resty-gwt;867b917c43c32acbdcac55767e7f04334006c866;false
Storm;ad2be678831b3b060229fd936e3908110162b7ac;true
Storm;bd1f5c54752f67b484a83c26667331234234d3a3;true
jOOQ;d96120f327107feb1ebb15e7c090dc38eeff72ca;true
swagger-maven-plugin;e825a7fdc6ef688f1253b93d2cb236e710acfc56;true
